Principal City,Detection Value,Water System ID,Water System Name,Lab Sample No.,Collection Date,Sample Type,Analyte Code,Analyte Name,Sampling Point ID,Monitoring Period Begin Date,Monitoring Period End Date,WSF ID,Sampling Point Type
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25025964-PFAS,2/11/2025,RT,2825,PERFLUORO PFMBA ,EP001       ,,,EP001,EP
NORFOLK CITY,2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25025964-PFAS,2/11/2025,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25025965-PFAS,2/11/2025,RT,2804,PERFLUORONONANOIC ACID (PFNA),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25025965-PFAS,2/11/2025,RT,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25025965-PFAS,2/11/2025,RT,2808,PERFLUORODODECANOIC ACID (PFDOA),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25025965-PFAS,2/11/2025,RT,2807,PERFLUORODECANOIC ACID (PFDA),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058547-PFAS,5/19/2025,RT,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058547-PFAS,5/19/2025,RT,2819,PERFLUOROBUTANOIC ACID (PFBA) ,EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058549-PFAS,5/19/2025,RT,2822,PERFLUORODECANE SULFONIC ACID 8:2 FTS ,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058549-PFAS,5/19/2025,RT,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058549-PFAS,5/19/2025,RT,2808,PERFLUORODODECANOIC ACID (PFDOA),EP002       ,,,EP002,EP
NORFOLK CITY,2.8 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058549-PFAS,5/19/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058549-PFAS,5/19/2025,RT,2801,PERFLUOROBUTANE SULFONIC ACID (PFBS),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058895-PFAS,5/29/2025,RT,2811,PERFLUOROTRIDECANOIC ACID (PFTRDA),EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25058948-PFAS,5/19/2025,FB,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP
 ,<1.3 NG/L     ,VA3053280,DCWA CENTRAL,122268P,10/23/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP002       ,,,EP002,EP
 ,<1.3 NG/L     ,VA3093640,"SMITHFIELD, TOWN OF",120180P,8/19/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP005       ,,,EP005,EP
 ,<1.3 NG/L     ,VA3093640,"SMITHFIELD, TOWN OF",120181P,8/19/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP006       ,,,EP006,EP
 ,<1.3 NG/L     ,VA3093640,"SMITHFIELD, TOWN OF",120182P,8/19/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP008       ,,,EP008,EP
VIRGINIA BEACH CITY,<1 NG/L     ,VA3810430,N A S OCEANA,121468R,9/9/2024,RT,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP1         ,,,EP1,EP
 ,<1.3 NG/L     ,VA3001100,CAPTAINS COVE,122263P,10/28/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP001       ,,,EP001,EP
 ,<1.3 NG/L     ,VA3001100,CAPTAINS COVE,122264P,10/28/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP002       ,,,EP002,EP
 ,<1.3 NG/L     ,VA3001100,CAPTAINS COVE,122264P,10/28/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP
 ,<1.3 NG/L     ,VA3001100,CAPTAINS COVE,122265P,10/28/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP003       ,,,EP003,EP
 ,<1 NG/L     ,VA3001100,CAPTAINS COVE,122266P,10/28/2024,RT,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP004       ,,,EP004,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25081027-PFAS,8/12/2025,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25081027-PFAS,8/12/2025,RT,2810,PERFLUOROTETRADECANOIC ACID (PFTA),EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25081028-PFAS,8/12/2025,RT,2829,PERFLUOROHEPTANESULFONIC ACID (PFHPS) ,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25081028-PFAS,8/12/2025,RT,2826,PERFLUORO PFEESA ,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25081028-PFAS,8/12/2025,RT,2803,PERFLUOROHEXANE SULFONIC ACID (PFHxS),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25081028-PFAS,8/12/2025,RT,2802,PERFLUOROHEPTANOIC ACID (PFHPA),EP002       ,,,EP002,EP
FRANKLIN CITY,<1.3 NG/L     ,VA3620350,"FRANKLIN, CITY OF",121324P,10/30/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP007       ,,,EP007,EP
VIRGINIA BEACH CITY,1.4 NG/L     ,VA3810430,N A S OCEANA,118827P,7/22/2024,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP1         ,,,EP1,EP
VIRGINIA BEACH CITY,2.7 NG/L     ,VA3810430,N A S OCEANA,118827P,7/22/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP1         ,,,EP1,EP
 ,<0.7 NG/L     ,VA3095810,STAR EXPRESS,JE03288-01,5/14/2026,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP002       ,,,EP002,EP
 ,<0.4 NG/L     ,VA3095810,STAR EXPRESS,JE03288-01,5/14/2026,RT,2826,PERFLUORO PFEESA ,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25113394-PFAS,11/12/2025,RT,2810,PERFLUOROTETRADECANOIC ACID (PFTA),EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25113394-PFAS,11/12/2025,RT,2802,PERFLUOROHEPTANOIC ACID (PFHPA),EP001       ,,,EP001,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25113396-PFAS,11/12/2025,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25113396-PFAS,11/12/2025,RT,2808,PERFLUORODODECANOIC ACID (PFDOA),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25113396-PFAS,11/12/2025,RT,2806,PERFLUOROCTANOIC ACID (PFOA),EP002       ,,,EP002,EP
NORFOLK CITY,<2 NG/L     ,VA3710100,"NORFOLK, CITY OF",25113395-PFAS,11/12/2025,FB,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 2,7/22/2024,RT,2826,PERFLUORO PFEESA ,EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 2,7/22/2024,RT,2807,PERFLUORODECANOIC ACID (PFDA),EP002       ,,,EP002,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 3,7/22/2024,RT,2828,PERFLUOROPENTANESULFONIC ACID (PFPES) ,EP003       ,,,EP003,EP
 ,3.07 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 3,7/22/2024,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 3,7/22/2024,RT,2821,PERFLUOROHEXANE SULFONIC ACID 4:2 FTS,EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 3,7/22/2024,RT,2808,PERFLUORODODECANOIC ACID (PFDOA),EP003       ,,,EP003,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 4,7/22/2024,RT,2828,PERFLUOROPENTANESULFONIC ACID (PFPES) ,EP004       ,,,EP004,EP
 ,2.58 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 4,7/22/2024,RT,2824,PERFLUOROPENTANOIC ACID (PFPEA) ,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 4,7/22/2024,RT,2823,PERFLUORO PFMPA,EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 4,7/22/2024,RT,2820,PERFLUOROOCTANE SULFONIC ACID 6:2 FTS ,EP004       ,,,EP004,EP
 ,1.75 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 4,7/22/2024,RT,2819,PERFLUOROBUTANOIC ACID (PFBA) ,EP004       ,,,EP004,EP
 ,2.47 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 4,7/22/2024,RT,2809,PERFLUOROHEXANOIC ACID (PFHXA),EP004       ,,,EP004,EP
 ,<2 NG/L     ,VA3053915,STONY SPRINGS SUBDIVISION,STONEY SPRINGS 2 FB,7/22/2024,FB,2826,PERFLUORO PFEESA ,EP002       ,,,EP002,EP
