Principal City,Detection Value,Water System ID,Water System Name,Lab Sample No.,Collection Date,Sample Type,Analyte Code,Analyte Name,Sampling Point ID,Monitoring Period Begin Date,Monitoring Period End Date,WSF ID,Sampling Point Type,Region
 ,5.5 NG/L     ,VA1021056   ,"ABB POWER T & D COMPANY, INC.",810-147825-A-1-A,5/6/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.9 NG/L     ,VA1197220   ,FOSTER FALLS CAMPGROUND,810-148904-A-1-A,5/13/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.9 NG/L     ,VA1021126   ,"DEER RUN WATER COMPANY, INC",810-147822-A-1-A,5/7/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.9 NG/L     ,VA1071455   ,GILES COUNTY PSA,810-153535-A-1-A,6/24/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1105900   ,WOODWAY WATER AUTHORITY,101332P,2/21/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,CC002,EP,1
 ,<1.3 NG/L     ,VA1121175   ,CHRISTIANSBURG ELLISTON WATERLINE,101333P,2/21/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1195950   ,"WISE, TOWN OF",101336P,2/21/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1167050   ,CASTLEWOOD - RCPSA,102654P,3/21/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1173481   ,"MARION, TOWN OF",103441P,4/17/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1105900   ,WOODWAY WATER AUTHORITY,104324P,5/15/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,CC002,EP,1
 ,<1.3 NG/L     ,VA1185061   ,"BLUEFIELD, TOWN OF",104326P,5/16/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1197810   ,"WYTHEVILLE, TOWN OF",104330P,5/17/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1167455   ,"LEBANON, TOWN OF",105324P,6/21/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,TP001,EP,1
 ,<1.3 NG/L     ,VA1185755   ,EASTERN TAZEWELL COUNTY,107243P,8/23/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,CC001,EP,1
 ,<1.3 NG/L     ,VA1121175   ,CHRISTIANSBURG ELLISTON WATERLINE,117212R,5/7/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1051737   ,DCPSA - BIG CANEY,120174P,8/20/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,CC002,EP,1
 ,<1.3 NG/L     ,VA1169200   ,DUFFIELD_SCOTT CO PSA,122258P,10/28/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP,1
 ,<1.3 NG/L     ,VA1173770   ,THOMAS BRIDGE WATER CORP,120394R,8/13/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.3 NG/L     ,VA1169200   ,DUFFIELD_SCOTT CO PSA,114068R,2/19/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,1.4 NG/L     ,VA1195170   ,"COEBURN, TOWN OF",118821P,7/24/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
RADFORD CITY,0.71 NG/L     ,VA1750100   ,"RADFORD, CITY OF",35977448001PFAS,8/18/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
RADFORD CITY,0.5 NG/L     ,VA1750100   ,"RADFORD, CITY OF",35956755001PFAS,5/19/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<0.4 NG/L     ,VA1167115   ,"CLEVELAND, TOWN OF",JE03215-01,5/13/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP,1
 ,<2 NG/L     ,VA1105200   ,"JONESVILLE, TOWN OF",6022610-01,2/20/2026,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<2 NG/L     ,VA1105500   ,"PENNINGTON GAP, TOWN OF",5112034-01,11/19/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<2 NG/L     ,VA1195050   ,"APPALACHIA, TOWN OF",5122593-01,12/9/2025,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
RADFORD CITY,<2 NG/L     ,VA1750100   ,"RADFORD, CITY OF",GE05337-13,5/30/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.9 NG/L     ,VA1035581   ,FANCY GAP,GF00114-07,5/31/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP004       ,,,EP004,EP,1
 ,<2 NG/L     ,VA1195900   ,WISE COUNTY REGIONAL WATER SYSTEM,GF00326-02,6/1/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<1.9 NG/L     ,VA1167050   ,CASTLEWOOD - RCPSA,GF00326-13,6/1/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP,1
 ,<2 NG/L     ,VA1167137   ,"DICKENSONVILLE REST HOMES, INC.",GF00714-09,6/5/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,<2 NG/L     ,VA1185762   ,GREATER TAZEWELL WTP,GF00784-06,6/5/2023,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP001       ,,,EP001,EP,1
 ,2.1 NG/L     ,VA1063154   ,RAMSEY MOBILE HOME PARK,HJ01051-07,10/2/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP003       ,,,EP003,EP,1
 ,<2 NG/L     ,VA1167115   ,"CLEVELAND, TOWN OF",HJ02333-01,10/7/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP,1
 ,<2 NG/L     ,VA1035095   ,"CHALET HIGH, INC",HJ02618-01,10/8/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP002       ,,,EP002,EP,1
 ,<2 NG/L     ,VA1035095   ,"CHALET HIGH, INC",HJ02618-03,10/8/2024,RT,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),EP006       ,,,EP006,EP,1
